Format Version,1.23,Take Name,EMG_Hinsetzen_Take2_2023-02-09 10.41.14 AM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2023-02-09 10.41.14.794 ,Capture Start Frame,188427,Total Frames in Take,2398,Total Exported Frames,2398,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Yuvesch+Exoskelet:BackLeft,Yuvesch+Exoskelet:BackLeft,Yuvesch+Exoskelet:BackLeft,Yuvesch+Exoskelet:BackRight,Yuvesch+Exoskelet:BackRight,Yuvesch+Exoskelet:BackRight,Yuvesch+Exoskelet:BackTop,Yuvesch+Exoskelet:BackTop,Yuvesch+Exoskelet:BackTop,Yuvesch+Exoskelet:Chest,Yuvesch+Exoskelet:Chest,Yuvesch+Exoskelet:Chest,Yuvesch+Exoskelet:HeadFront,Yuvesch+Exoskelet:HeadFront,Yuvesch+Exoskelet:HeadFront,Yuvesch+Exoskelet:HeadSide,Yuvesch+Exoskelet:HeadSide,Yuvesch+Exoskelet:HeadSide,Yuvesch+Exoskelet:HeadTop,Yuvesch+Exoskelet:HeadTop,Yuvesch+Exoskelet:HeadTop,Yuvesch+Exoskelet:LAnkleOut,Yuvesch+Exoskelet:LAnkleOut,Yuvesch+Exoskelet:LAnkleOut,Yuvesch+Exoskelet:LElbowOut,Yuvesch+Exoskelet:LElbowOut,Yuvesch+Exoskelet:LElbowOut,Yuvesch+Exoskelet:LHandOut,Yuvesch+Exoskelet:LHandOut,Yuvesch+Exoskelet:LHandOut,Yuvesch+Exoskelet:LHeel,Yuvesch+Exoskelet:LHeel,Yuvesch+Exoskelet:LHeel,Yuvesch+Exoskelet:LKneeOut,Yuvesch+Exoskelet:LKneeOut,Yuvesch+Exoskelet:LKneeOut,Yuvesch+Exoskelet:LShin,Yuvesch+Exoskelet:LShin,Yuvesch+Exoskelet:LShin,Yuvesch+Exoskelet:LShoulderBack,Yuvesch+Exoskelet:LShoulderBack,Yuvesch+Exoskelet:LShoulderBack,Yuvesch+Exoskelet:LShoulderTop,Yuvesch+Exoskelet:LShoulderTop,Yuvesch+Exoskelet:LShoulderTop,Yuvesch+Exoskelet:LThigh,Yuvesch+Exoskelet:LThigh,Yuvesch+Exoskelet:LThigh,Yuvesch+Exoskelet:LToeIn,Yuvesch+Exoskelet:LToeIn,Yuvesch+Exoskelet:LToeIn,Yuvesch+Exoskelet:LToeOut,Yuvesch+Exoskelet:LToeOut,Yuvesch+Exoskelet:LToeOut,Yuvesch+Exoskelet:LToeTip,Yuvesch+Exoskelet:LToeTip,Yuvesch+Exoskelet:LToeTip,Yuvesch+Exoskelet:LUArmHigh,Yuvesch+Exoskelet:LUArmHigh,Yuvesch+Exoskelet:LUArmHigh,Yuvesch+Exoskelet:LWristIn,Yuvesch+Exoskelet:LWristIn,Yuvesch+Exoskelet:LWristIn,Yuvesch+Exoskelet:LWristOut,Yuvesch+Exoskelet:LWristOut,Yuvesch+Exoskelet:LWristOut,Yuvesch+Exoskelet:RAnkleOut,Yuvesch+Exoskelet:RAnkleOut,Yuvesch+Exoskelet:RAnkleOut,Yuvesch+Exoskelet:RElbowOut,Yuvesch+Exoskelet:RElbowOut,Yuvesch+Exoskelet:RElbowOut,Yuvesch+Exoskelet:RHandOut,Yuvesch+Exoskelet:RHandOut,Yuvesch+Exoskelet:RHandOut,Yuvesch+Exoskelet:RHeel,Yuvesch+Exoskelet:RHeel,Yuvesch+Exoskelet:RHeel,Yuvesch+Exoskelet:RKneeOut,Yuvesch+Exoskelet:RKneeOut,Yuvesch+Exoskelet:RKneeOut,Yuvesch+Exoskelet:RShin,Yuvesch+Exoskelet:RShin,Yuvesch+Exoskelet:RShin,Yuvesch+Exoskelet:RShoulderBack,Yuvesch+Exoskelet:RShoulderBack,Yuvesch+Exoskelet:RShoulderBack,Yuvesch+Exoskelet:RShoulderTop,Yuvesch+Exoskelet:RShoulderTop,Yuvesch+Exoskelet:RShoulderTop,Yuvesch+Exoskelet:RThigh,Yuvesch+Exoskelet:RThigh,Yuvesch+Exoskelet:RThigh,Yuvesch+Exoskelet:RToeIn,Yuvesch+Exoskelet:RToeIn,Yuvesch+Exoskelet:RToeIn,Yuvesch+Exoskelet:RToeOut,Yuvesch+Exoskelet:RToeOut,Yuvesch+Exoskelet:RToeOut,Yuvesch+Exoskelet:RToeTip,Yuvesch+Exoskelet:RToeTip,Yuvesch+Exoskelet:RToeTip,Yuvesch+Exoskelet:RUArmHigh,Yuvesch+Exoskelet:RUArmHigh,Yuvesch+Exoskelet:RUArmHigh,Yuvesch+Exoskelet:RWristIn,Yuvesch+Exoskelet:RWristIn,Yuvesch+Exoskelet:RWristIn,Yuvesch+Exoskelet:RWristOut,Yuvesch+Exoskelet:RWristOut,Yuvesch+Exoskelet:RWristOut,Yuvesch+Exoskelet:WaistLBack,Yuvesch+Exoskelet:WaistLBack,Yuvesch+Exoskelet:WaistLBack,Yuvesch+Exoskelet:WaistLFront,Yuvesch+Exoskelet:WaistLFront,Yuvesch+Exoskelet:WaistLFront,Yuvesch+Exoskelet:WaistRBack,Yuvesch+Exoskelet:WaistRBack,Yuvesch+Exoskelet:WaistRBack,Yuvesch+Exoskelet:WaistRFront,Yuvesch+Exoskelet:WaistRFront,Yuvesch+Exoskelet:WaistRFront
,ID,"7D5E65EED6A85C11ED","7D5E65EED6A85C11ED","7D5E65EED6A85C11ED","7D7E65EED6A85C11ED","7D7E65EED6A85C11ED","7D7E65EED6A85C11ED","E482FF0FA85D11ED7289C89196B496A2","E482FF0FA85D11ED7289C89196B496A2","E482FF0FA85D11ED7289C89196B496A2","E482FF11A85D11ED7289C89196B496A2","E482FF11A85D11ED7289C89196B496A2","E482FF11A85D11ED7289C89196B496A2","E482FF1BA85D11ED7289C89196B496A2","E482FF1BA85D11ED7289C89196B496A2","E482FF1BA85D11ED7289C89196B496A2","E482FF21A85D11ED7289C89196B496A2","E482FF21A85D11ED7289C89196B496A2","E482FF21A85D11ED7289C89196B496A2","E482FF18A85D11ED7289C89196B496A2","E482FF18A85D11ED7289C89196B496A2","E482FF18A85D11ED7289C89196B496A2","E482FF17A85D11ED7289C89196B496A2","E482FF17A85D11ED7289C89196B496A2","E482FF17A85D11ED7289C89196B496A2","E482FF0CA85D11ED7289C89196B496A2","E482FF0CA85D11ED7289C89196B496A2","E482FF0CA85D11ED7289C89196B496A2","E482FF05A85D11ED7289C89196B496A2","E482FF05A85D11ED7289C89196B496A2","E482FF05A85D11ED7289C89196B496A2","E482FF09A85D11ED7289C89196B496A2","E482FF09A85D11ED7289C89196B496A2","E482FF09A85D11ED7289C89196B496A2","E482FF26A85D11ED7289C89196B496A2","E482FF26A85D11ED7289C89196B496A2","E482FF26A85D11ED7289C89196B496A2","E482FF1DA85D11ED7289C89196B496A2","E482FF1DA85D11ED7289C89196B496A2","E482FF1DA85D11ED7289C89196B496A2","E482FF2BA85D11ED7289C89196B496A2","E482FF2BA85D11ED7289C89196B496A2","E482FF2BA85D11ED7289C89196B496A2","E482FF16A85D11ED7289C89196B496A2","E482FF16A85D11ED7289C89196B496A2","E482FF16A85D11ED7289C89196B496A2","E482FF1CA85D11ED7289C89196B496A2","E482FF1CA85D11ED7289C89196B496A2","E482FF1CA85D11ED7289C89196B496A2","E482FF0BA85D11ED7289C89196B496A2","E482FF0BA85D11ED7289C89196B496A2","E482FF0BA85D11ED7289C89196B496A2","E482FF1FA85D11ED7289C89196B496A2","E482FF1FA85D11ED7289C89196B496A2","E482FF1FA85D11ED7289C89196B496A2","E482FF07A85D11ED7289C89196B496A2","E482FF07A85D11ED7289C89196B496A2","E482FF07A85D11ED7289C89196B496A2","E482FF04A85D11ED7289C89196B496A2","E482FF04A85D11ED7289C89196B496A2","E482FF04A85D11ED7289C89196B496A2","E482FF06A85D11ED7289C89196B496A2","E482FF06A85D11ED7289C89196B496A2","E482FF06A85D11ED7289C89196B496A2","E482FF12A85D11ED7289C89196B496A2","E482FF12A85D11ED7289C89196B496A2","E482FF12A85D11ED7289C89196B496A2","E482FF24A85D11ED7289C89196B496A2","E482FF24A85D11ED7289C89196B496A2","E482FF24A85D11ED7289C89196B496A2","E482FF27A85D11ED7289C89196B496A2","E482FF27A85D11ED7289C89196B496A2","E482FF27A85D11ED7289C89196B496A2","E482FF15A85D11ED7289C89196B496A2","E482FF15A85D11ED7289C89196B496A2","E482FF15A85D11ED7289C89196B496A2","E482FF20A85D11ED7289C89196B496A2","E482FF20A85D11ED7289C89196B496A2","E482FF20A85D11ED7289C89196B496A2","E482FF25A85D11ED7289C89196B496A2","E482FF25A85D11ED7289C89196B496A2","E482FF25A85D11ED7289C89196B496A2","E482FF19A85D11ED7289C89196B496A2","E482FF19A85D11ED7289C89196B496A2","E482FF19A85D11ED7289C89196B496A2","E482FF2AA85D11ED7289C89196B496A2","E482FF2AA85D11ED7289C89196B496A2","E482FF2AA85D11ED7289C89196B496A2","E482FF0AA85D11ED7289C89196B496A2","E482FF0AA85D11ED7289C89196B496A2","E482FF0AA85D11ED7289C89196B496A2","E482FF10A85D11ED7289C89196B496A2","E482FF10A85D11ED7289C89196B496A2","E482FF10A85D11ED7289C89196B496A2","E482FF0DA85D11ED7289C89196B496A2","E482FF0DA85D11ED7289C89196B496A2","E482FF0DA85D11ED7289C89196B496A2","E482FF23A85D11ED7289C89196B496A2","E482FF23A85D11ED7289C89196B496A2","E482FF23A85D11ED7289C89196B496A2","E482FF14A85D11ED7289C89196B496A2","E482FF14A85D11ED7289C89196B496A2","E482FF14A85D11ED7289C89196B496A2","E482FF13A85D11ED7289C89196B496A2","E482FF13A85D11ED7289C89196B496A2","E482FF13A85D11ED7289C89196B496A2","E482FF08A85D11ED7289C89196B496A2","E482FF08A85D11ED7289C89196B496A2","E482FF08A85D11ED7289C89196B496A2","E482FF0EA85D11ED7289C89196B496A2","E482FF0EA85D11ED7289C89196B496A2","E482FF0EA85D11ED7289C89196B496A2","E482FF1AA85D11ED7289C89196B496A2","E482FF1AA85D11ED7289C89196B496A2","E482FF1AA85D11ED7289C89196B496A2","E482FF1EA85D11ED7289C89196B496A2","E482FF1EA85D11ED7289C89196B496A2","E482FF1EA85D11ED7289C89196B496A2","E482FF28A85D11ED7289C89196B496A2","E482FF28A85D11ED7289C89196B496A2","E482FF28A85D11ED7289C89196B496A2","E482FF2CA85D11ED7289C89196B496A2","E482FF2CA85D11ED7289C89196B496A2","E482FF2CA85D11ED7289C89196B496A2","E482FF22A85D11ED7289C89196B496A2","E482FF22A85D11ED7289C89196B496A2","E482FF22A85D11ED7289C89196B496A2","E482FF29A85D11ED7289C89196B496A2","E482FF29A85D11ED7289C89196B496A2","E482FF29A85D11ED7289C89196B496A2"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,252.185104,1350.492188,-364.818573,90.608147,1355.253540,-302.868408,215.016769,1504.392700,-223.178955,302.036194,1338.263916,-10.913313,387.455017,1722.782959,-52.334309,258.856293,1715.518799,-16.893654,281.933105,1776.349487,-116.467628,413.377747,105.682632,-164.378891,542.713318,1122.646118,-248.409683,585.069092,843.356689,-69.165413,341.103241,45.470886,-266.654572,520.171997,517.147827,-101.698616,391.286957,281.107086,-106.743385,387.780548,1362.745361,-309.932098,405.855988,1499.026733,-213.639771,412.390442,725.309143,-23.314383,336.658752,34.334286,-3.302347,470.068054,37.815865,-72.982239,413.531616,53.473316,51.289196,471.927612,1265.719238,-275.203064,508.480499,918.885559,-47.631660,581.600220,895.955627,-89.879898,122.443970,107.319214,-126.459839,-34.608181,1152.881958,-56.219856,-11.043486,850.030884,69.847946,170.415115,57.578644,-233.538757,40.727467,502.681427,-13.328591,166.688812,319.106293,-63.237713,18.342672,1373.891968,-146.944550,94.208557,1497.675415,-61.865726,187.704453,640.798523,5.565804,240.327988,48.305836,20.787579,103.806633,43.777386,-21.991161,187.307938,51.021011,94.367661,-5.944074,1281.399170,-100.789391,63.936420,910.173950,109.718460,-19.413736,895.558289,86.575272,344.908447,1073.140869,-254.636917,427.463013,988.852783,-44.017899,112.511368,1076.286621,-185.886108,170.178558,978.131836,30.681238
1,0.004000,,,,,,,252.102875,1350.502441,-364.757629,90.585854,1355.227905,-302.732941,214.936432,1504.406006,-223.072144,302.005432,1338.251465,-10.838183,387.328156,1722.720093,-51.944824,258.683228,1715.441162,-16.670284,281.891693,1776.369751,-116.169044,413.375305,105.691757,-164.346069,542.628540,1122.680176,-248.539841,585.335022,843.327515,-69.463951,341.108704,45.479340,-266.671051,520.140991,517.132202,-101.685646,391.273956,281.100403,-106.741798,387.629913,1362.848389,-309.989960,405.776947,1499.036621,-213.589615,412.363251,725.320435,-23.330370,336.652649,34.329235,-3.293740,470.067291,37.832027,-72.986511,413.524902,53.483921,51.287266,471.829590,1265.764648,-275.226166,508.705627,918.836792,-47.804382,581.822754,896.039062,-90.129738,122.457527,107.306366,-126.467171,-34.651516,1152.867065,-56.130905,-10.945168,850.015076,69.996758,170.422119,57.583134,-233.532059,40.730839,502.657715,-13.295364,166.752045,318.985382,-63.212879,18.306000,1373.879272,-146.834824,94.163277,1497.651733,-61.742714,187.682571,640.791687,5.590670,240.336227,48.254444,20.772963,103.810661,43.787113,-21.992439,187.309265,51.031971,94.363281,-4.283443,1281.411255,-101.726814,64.004250,910.189392,109.815193,-19.343075,895.544922,86.697060,344.821991,1073.116821,-254.605347,427.427582,988.842041,-44.049427,112.477303,1076.287598,-185.829117,170.173187,978.120361,30.704535
2,0.008000,,,,,,,252.022629,1350.512329,-364.687897,90.494873,1355.277954,-302.688232,214.859467,1504.438599,-222.962631,301.958130,1338.223022,-10.803262,387.177765,1722.657715,-51.538345,258.528168,1715.354858,-16.463011,281.837646,1776.385010,-115.888252,413.393494,105.719284,-164.357010,542.556213,1122.733643,-248.655792,585.585571,843.324890,-69.775024,341.092102,45.472385,-266.661530,520.111694,517.161377,-101.674721,391.255981,281.115021,-106.720940,387.540161,1362.875977,-309.959686,405.723969,1499.063110,-213.539337,412.350342,725.325073,-23.328257,336.659515,34.354450,-3.295196,470.059265,37.816132,-72.982124,413.530273,53.474766,51.293518,471.724457,1265.796387,-275.251892,508.946533,918.810242,-47.976208,582.015991,896.022827,-90.412155,122.445442,107.304169,-126.456070,-34.666965,1152.839600,-56.036060,-10.845400,850.003235,70.150116,170.420380,57.597504,-233.532578,40.722366,502.651520,-13.255919,166.784683,318.908569,-63.233845,18.242861,1373.875244,-146.729782,94.123756,1497.622803,-61.602154,187.661179,640.740356,5.621672,240.321930,48.289879,20.790504,103.808632,43.781284,-21.992085,187.311462,51.026878,94.360870,-5.453202,1281.401001,-100.982597,64.081512,910.213501,109.910019,-19.264883,895.525635,86.800278,344.764771,1073.127441,-254.590363,427.391724,988.829346,-44.071186,112.424995,1076.321533,-185.800171,170.140320,978.094543,30.754429
3,0.013000,,,,,,,251.947021,1350.517212,-364.616302,90.421967,1355.260254,-302.575806,214.783981,1504.451050,-222.866028,301.931915,1338.188354,-10.770427,387.030365,1722.600098,-51.126171,258.360596,1715.265991,-16.247915,281.775879,1776.383057,-115.610153,413.373260,105.712448,-164.359482,542.484680,1122.773682,-248.773361,585.897705,843.278137,-70.067169,341.089478,45.479275,-266.662445,520.087952,517.177185,-101.654457,391.251678,281.103271,-106.721695,387.446075,1362.899170,-309.942261,405.660919,1499.071289,-213.505188,412.322815,725.360779,-23.328968,336.658813,34.366501,-3.303594,470.064178,37.817974,-72.972336,413.524261,53.463303,51.300060,471.625946,1265.809082,-275.266846,509.192413,918.742310,-48.141056,582.219971,896.033020,-90.690292,122.440529,107.305939,-126.457108,-34.700962,1152.815918,-55.952377,-10.759612,849.977722,70.295761,170.429993,57.597103,-233.528107,40.718040,502.658722,-13.231311,166.824387,318.853180,-63.233517,18.183681,1373.873413,-146.638824,94.068794,1497.597534,-61.491764,187.653580,640.731140,5.650865,240.334320,48.248432,20.775885,103.802818,43.778088,-21.990204,187.308640,51.025143,94.370422,-4.877519,1281.406982,-101.263077,64.156380,910.240723,110.054497,-19.177195,895.558044,86.933243,344.710236,1073.157593,-254.602127,427.371338,988.828186,-44.084949,112.395142,1076.305542,-185.749313,170.127502,978.076477,30.782312
4,0.017000,,,,,,,251.851440,1350.523682,-364.542786,90.349823,1355.268921,-302.495972,214.705582,1504.416748,-222.741013,301.900482,1338.182739,-10.727714,386.888885,1722.553833,-50.758678,258.197632,1715.183472,-16.042868,281.709625,1776.395142,-115.322906,413.381012,105.739273,-164.347198,542.402100,1122.818848,-248.927658,586.170227,843.334778,-70.389709,341.097473,45.466244,-266.662476,520.035950,517.177795,-101.627518,391.244415,281.090881,-106.724350,387.357330,1362.922363,-309.904053,405.599976,1499.090698,-213.451813,412.299927,725.333862,-23.355358,336.640350,34.331944,-3.311645,470.063782,37.819164,-72.975418,413.525269,53.480778,51.306908,471.533234,1265.837769,-275.301727,509.438751,918.661743,-48.306278,582.429260,896.034119,-90.977051,122.433945,107.305885,-126.445786,-34.731236,1152.790283,-55.866047,-10.670995,849.967590,70.436775,170.427856,57.623447,-233.526031,40.693432,502.649597,-13.193937,166.843063,318.783966,-63.233868,18.125475,1373.851196,-146.540344,94.026497,1497.575684,-61.390030,187.634537,640.739136,5.678411,240.326889,48.274910,20.799248,103.797813,43.772804,-21.987492,187.305649,51.017693,94.368149,-6.248106,1281.274292,-100.341949,64.225357,910.269897,110.169258,-19.098846,895.547424,87.078499,344.651611,1073.161987,-254.607712,427.333801,988.835144,-44.105789,112.365128,1076.305054,-185.718216,170.112518,978.064331,30.818407
5,0.021000,,,,,,,251.781937,1350.530396,-364.456543,90.303963,1355.271851,-302.408203,214.644196,1504.421631,-222.657806,301.864655,1338.150391,-10.694222,386.748932,1722.497070,-50.377304,257.995209,1715.138428,-15.830640,281.657532,1776.408813,-115.033997,413.366516,105.722221,-164.353592,542.300476,1122.868042,-249.060455,586.383911,843.377441,-70.730324,341.094757,45.477341,-266.658936,520.019775,517.174011,-101.619743,391.220825,281.072205,-106.715553,387.202209,1362.901001,-309.942322,405.539398,1499.110962,-213.405075,412.275604,725.343323,-23.361700,336.656860,34.344658,-3.295343,470.063324,37.814308,-72.977058,413.527679,53.462460,51.295807,471.443878,1265.865601,-275.322815,509.690033,918.609375,-48.455322,582.649292,896.018799,-91.253059,122.431374,107.314316,-126.439690,-34.772694,1152.757812,-55.729855,-10.585714,849.948364,70.605522,170.418686,57.595852,-233.525208,40.681355,502.635010,-13.172997,166.902008,318.635345,-63.293823,18.082079,1373.831909,-146.440201,93.987457,1497.555298,-61.301460,187.612503,640.696411,5.712849,240.334854,48.293201,20.798649,103.794701,43.773727,-21.992334,187.309845,51.020401,94.368225,-4.465933,1281.322144,-101.399200,64.296890,910.283142,110.278954,-19.012302,895.522583,87.209831,344.599213,1073.159424,-254.599030,427.292786,988.804260,-44.137417,112.314049,1076.306763,-185.689529,170.099564,978.061707,30.851934
